x Norm_heat_flux
0.018014092 264591.475334639
0.0180145688 263473.450581068
0.018015366 262318.802301139
0.0180164818 261264.808748409
0.0180179179 260365.218352815
0.0180196725 259623.713641097
0.0180217456 259015.317868114
0.0180241354 258501.05285836
0.0180268455 258036.759405247
0.0180298723 257579.682459972
0.0180332176 257091.889688636
0.0180368777 256547.393633529
0.0180408563 255940.325738136
0.0180451497 255261.30052752
0.0180497598 254496.314563942
0.0180546828 253644.826860233
0.0180599224 252709.472094152
0.0180654731 251693.560424649
0.0180713385 250600.811514874
0.0180775151 249435.15178745
0.0180840027 248200.47052859
0.0180908013 246900.317778382
0.0180979092 245538.09804233
0.0181053262 244117.156608423
0.0181130506 242639.905335955
0.0181210823 241106.736666452
0.0181294177 239520.213012224
0.0181380603 237883.697727619
0.0181470066 236198.27579803
0.0181562547 234465.313241144
0.0181658044 232686.173063587
0.01817072925 231774.187638292
0.0181756541 230862.202212997
0.0181858018 228994.615150361
0.0181962494 227084.684550495
0.0182069931 225133.661007108
0.0182180312 223142.892471525
0.0182293635 221114.489697013
0.0182409901 219049.389123323
0.0182529073 216947.179238881
0.0182651132 214809.784111216
0.0182776079 212639.037476046
0.0182903893 210435.069812651
0.0183034558 208198.310698966
0.0183168072 205929.264989434
0.0183304418 203628.642290598
0.0183443557 201297.584797995
0.0183585491 198937.848963464
0.0183730181 196551.846646301
0.0183877647 194142.587903113
0.0184027851 191714.259111395
0.0184180792 189269.909471539
0.0184336416 186811.314505432
0.0184494741 184340.884064995
0.018465573 181859.648936536
0.0184819363 179366.785093221
0.0184985641 176860.816111819
0.0185154527 174340.077879674
0.0185326003 171802.495776245
0.0185500029 169247.507736941
0.0185676627 166670.852107761
0.0185855739 164077.913668197
0.0186037328 161405.127931754
0.0186221395 158923.107920245
0.01864086 156222.171781112
0.0186595805 153521.235641978
0.0186786167 151066.576131675
0.0186978914 148560.662353046
0.0187174026 146037.951876408
0.0187371485 143495.088373223
0.0187571254 140927.95773144
0.0187773295 138344.422833175
0.018797759 135763.252620927
0.0188184138 133205.769416327
0.0188392866 130687.33063056
0.0188603774 128211.909859529
0.0188816823 125771.093197085
0.0189031977 123348.261597777
0.0189249236 120925.728093439
0.0189468563 118491.633121258
0.0189689901 116043.441368467
0.0189913251 113587.266291149
0.0190138556 111134.438509191
0.0190365836 108697.015311699
0.0190594997 106284.502616019
0.0190826058 103902.229998874
0.0191058982 101551.701986722
0.0191293713 99232.3752839195
0.019153025 96942.8210419869
