x Norm_heat_flux
0.0186501406 167291.530999371
0.018650163 167213.684050213
0.0186501648 167368.124343759
0.0186502337 167444.138560884
0.0186502356 167133.500518267
0.0186503455 167519.723200074
0.0186503567 167049.260084418
0.0186505001 167594.597229035
0.0186505336 166958.701442386
0.0186506975 167668.088177633
0.0186507665 166858.757325416
0.0186509341 167739.241539757
0.0186510589 166745.203215917
0.0186512116 167806.955267338
0.0186514147 166612.31809933
0.0186515264 167870.163445033
0.0186518412 166453.09222729
0.0186518822 167927.875434003
0.0186522771 167979.324417562
0.0186523404 166261.186314191
0.0186527129 168023.931268446
0.0186529178 166036.377541571
0.018653186 168061.414954361
0.0186535828 165793.321743569
0.0186537001 168091.625925979
0.0186542533 168114.602323397
0.018654339 165568.737796784
0.0186548494 168130.474625894
0.0186550226 166770.983914156
0.0186551958 165411.493202418
0.0186554864 168139.41044916
0.0186561607 165329.439802029
0.0186561663 168141.579416258
0.0186568908 168137.054796323
0.0186572373 165206.126846117
0.0186576582 168125.912869548
0.0186584108 164870.47492195
0.0186584741 168108.059289377
0.0186593365 168083.381642893
0.0186595805 164243.252996321
0.018659913 166147.47312034
0.0186602455 168051.693244358
0.0186612066 168012.732131526
0.018662218 167966.312622345
0.0186632816 167912.189817244
0.0186643992 167850.216174271
0.0186655689 167780.333479591
0.0186667945 167702.598943351
0.0186680723 167617.144048517
0.0186694041 167524.209679912
0.018670788 167424.135083664
0.0186722204 167317.405040478
0.0186736993 167204.449128291
0.0186752193 167085.791271593
0.0186767783 166961.879114683
0.0186783671 166833.032833637
0.0186799802 166699.419040458
0.0186816063 166560.906252181
0.018683238 166417.197377524
0.0186848603 166269.300117997
0.0186864566 166118.673834157
0.0186880026 165954.287004772
0.0186894611 165741.274562698
0.0186907761 165547.08827327
0.0186918192 165529.72148118
0.0193734579 85305.097695881
0.0193734579 91777.8353006547
0.0193987321 83222.6759978489
0.0193987321 89574.0542226293
0.0194241516 81139.0578048247
0.0194241516 87387.7998239952
0.0194497108 79068.6383938623
0.0194497108 85230.4854284288
0.0194754098 77019.3818187025
0.0194754098 83104.3265740943
0.0195012428 74997.1444912486
0.0195012428 81010.4260116403
0.0195272081 73005.3707633712
0.0195272081 78948.6811642793
0.0195533 71045.771318792
0.0195533 76918.1945353063
0.0195795167 69119.1221077488
0.0195795167 74917.6761864913
0.0196058564 67225.7407971025
0.0196058564 72945.8314622766
0.0196323115 65365.7817538777
0.0196323115 71001.6649061289
0.019658884 63539.3336036157
0.019658884 69084.8305472204
0.0196855664 61746.4853733324
0.0196855664 67195.7445140838
0.0197123569 59987.3024030363
0.0197123569 65335.5984840147
0.0197392516 58261.8406984488
0.0197392516 63506.1591464564
0.0197662469 56570.1844688895
0.0197662469 61709.4784386308
0.0197933391 54912.2776082682
0.0197933391 59947.3321835305
0.0198205281 53288.1995082081
0.0198205281 58221.1741210657
0.0198478047 51698.0905844875
0.0198478047 56531.8827782614
0.0198751707 50141.9179161806
0.0198751707 54879.4209183387
0.0199026205 48619.6955549019
0.0199026205 53263.1994775354
0.0199301504 47131.386163504
0.0199301504 51682.2464855885
0.0199577566 45676.9056330359
0.0199577566 50135.4586900063
0.0199854374 44256.0995964732
0.0199854374 48621.7987805174
0.0200131871 42868.8000366514
0.0200131871 47140.5607638515
0.0200410057 41514.7917631283
0.0200410057 45691.2868584753
0.0200688876 40194.2570454203
0.0200688876 44274.2806796351
0.0200968292 38906.1771414612
0.0200968292 42889.0047530684
0.0201248303 37653.7838222647
0.0201248303 41538.7541824237
0.0201528836 36417.4472831927
0.0201528836 40206.4602705803
0.0201809853 35129.6384750288
0.0201809853 36969.3179769883
0.0201809853 38808.9974789478
0.0202114256 37533.5834997473
0.0202418659 36258.1695205468
0.0202760268 35383.7869187859
0.0203116387 34676.1531224727
0.0203487631 34074.4319668439
0.0203874651 33546.3998875813
0.0204278119 33072.3616396695
0.0204698704 32639.2143935014
0.0205137152 32237.5636409593
0.0205594227 31860.9971284095
0.0206070691 31504.4975260839
0.0206567384 31164.0359349402
0.0207085144 30835.4761618211
0.0207624882 30514.8759258521
0.0208187513 30203.3777236777
0.0208774004 29900.8135381332
0.0209385343 29604.4771285951
0.021002261 29311.1997555785
0.0210686885 29015.4616437208
0.0211379286 28715.6198581569
0.0212101042 28415.6286236338
0.0212853327 28120.5914866126
0.0213637482 27831.9131067206
0.0214454811 27546.5250127806
0.0215306729 27260.0105815532
0.0216194671 26970.2595616157
0.0217120145 26677.4285281034
0.0218084734 26383.3753052176
0.0219090097 26089.2005358646
0.022013789 25798.4422158901
0.0221229922 25492.6227730616
0.0222368054 25192.4000883706
0.0223579174 24920.6700133717
