x Norm_heat_flux
0.0186142158 178707.277575432
0.0186142307 178737.039899066
0.0186142586 178662.913616745
0.0186143015 178749.117261906
0.0186143536 178606.735261151
0.0186144337 178740.349054329
0.0186145008 178541.021881292
0.0186146293 178708.006252023
0.0186146963 178467.456659872
0.0186148901 178650.519088888
0.0186149422 178387.179785057
0.0186152235 178568.484758548
0.0186152365 178300.845660617
0.0186155792 178208.73431516
0.0186156332 178466.072575824
0.0186159667 178110.846752371
0.0186161231 178352.668015653
0.0186164007 178007.051489286
0.0186167005 178242.815502942
0.0186168831 177897.124703754
0.0186173692 178151.658663598
0.0186174102 177780.784359797
0.0186179858 177657.73336613
0.0186181366 178079.962306934
0.018618606 177527.652550364
0.0186190102 177991.460219083
0.0186192766 177390.26188389
0.0186199918 177805.088634804
0.0186199937 177245.300408149
0.0186203774 177168.90278268
0.0186207611 177092.505157211
0.0186210666 177457.041179093
0.0186215788 176931.708515384
0.0186221395 176976.37056904
0.0186224487 176762.722793244
0.0186233707 176585.474721656
0.0186243486 176399.850884017
0.0186253823 176205.832210279
0.018626472 176003.308294896
0.0186276231 175792.165721264
0.0186288357 175572.235870008
0.0186301116 175343.258786254
0.0186314546 175104.820951056
0.0186328627 174856.474720117
0.0186343417 174597.584759715
0.0186358914 174327.551868851
0.0186375119 174045.685511031
0.0186392069 173751.443695402
0.0186409745 173444.338630197
0.0186428167 173124.221769774
0.0186447334 172791.16839064
0.0186467245 172445.608070732
0.0186487865 172088.287553001
0.0186509229 171720.274760166
0.0186531283 171342.801215887
0.0186554044 170957.15866503
0.0186577532 170564.391945517
0.0186601728 170165.008922851
0.0186626706 169758.913243103
0.0186652504 169348.891140731
0.0186679251 168936.683008586
0.018670721 168478.652560884
0.0186737012 167882.539906528
0.0186771397 167508.65554612
0.01868447945 160924.154208298
0.0186918192 154339.652870476
0.018703647 152800.435984529
0.0187167488 151074.240283811
0.0187307447 149254.336371992
0.0187454503 147353.350628573
0.0187607575 145373.415887928
0.0187766049 143324.018997359
0.0187929459 141219.807761508
0.0188097525 139070.802989036
0.0188269969 136880.454351351
0.0188446641 134653.566496997
0.0188627373 132404.496161456
0.0188812073 130157.782482439
