x Norm_heat_flux
0.0180187915 267982.564559548
0.0180262625 265718.735010132
0.0180387404 262107.453971721
0.0180562008 257860.371493217
0.0180786084 253057.276657667
0.0181059223 247468.855142564
0.0181380939 241126.347702148
0.0181750711 234006.403563836
0.0182168037 226204.929012745
0.0182632357 217808.163826757
0.0183143206 208826.16695463
0.0183700118 199391.991128639
0.0184302628 189550.186993211
0.0184950363 179183.42356555
0.0185642689 169086.804437983
0.01863857075 158220.70835041
0.0187128726 147354.612262836
0.0187919755 137615.734197755
0.0188749339 127780.90267428
0.0189615451 117925.338996994
0.0190516002 108132.141404207
0.0191448946 98561.0240615698
0.0192412194 89382.4479100294
0.0193403661 80688.3091046012
0.0194421224 72522.9150964072
0.0195462685 64906.587431004
0.0196525902 57808.1614336097
0.0197608657 51244.6169750666
0.0198708791 45218.150623859
0.0199824255 39798.2289461341
0.0200953241 34643.0581573052
0.0202220436 30881.754853749
0.0203487631 27120.4515501928
0.0205137152 25327.829952381
0.0207085144 24289.0167604928
0.0209385343 23200.4208054438
0.0212101042 22139.1266359249
0.0215306729 21124.8531839592
0.0219090097 20149.0261542529
0.0223554168 19174.1888600654
0.0228819996 18148.6013490445
0.0235029534 17084.2902978483
0.0242349096 16025.9640300927
0.0250973199 14969.0072929275
0.0261128936 13909.4623487022
0.0273080822 12905.427906898
0.0287136119 12024.759114561
0.0305085471 11298.9647604802
0.0323034823 10573.1704063994
0.03457601 9930.00330057791
0.0372364931 9353.94580327384
0.0403460413 8873.59974537314
0.0439734645 8513.49604439157
0.0481955446 8252.75048797245
0.0530969501 8078.48799307231
0.0587697774 7989.1580141927
0.0653124675 7982.1911634003
0.0728279725 8050.50313847749
0.0814209655 8180.27300204749
0.0911939517 8360.45659646301
0.102242149 8581.27754090301
0.11464712 8831.0934603347
0.128469378 9099.27266218676
0.144461401 9366.83433571996
0.160453424 9634.39600925316
0.178558066 9878.94808341046
0.197952598 10097.9790227637
0.218482539 10281.8069636744
0.239941671 10426.0409672475
0.262078047 10531.0071313128
0.28460446 10600.486343913
0.307212591 10640.5313380827
0.329589576 10657.7459712589
0.351435304 10657.9481137733
0.372477829 10646.7415495707
0.392486155 10627.4833097728
0.411278367 10605.2243476545
0.428725481 10578.4775005365
0.444750726 10561.8645775757
0.4588992895 10528.7782942987
0.473047853 10495.6920110218
0.486770242 10482.3121638675
0.500492632 10463.6509169573
0.514214993 10443.6879886819
0.527937412 10422.8453289573
0.541659772 10401.391423993
0.555382192 10379.4971012763
0.569104552 10357.2814984262
0.582826912 10334.8671655968
0.596549332 10312.3816713757
0.610271692 10289.9323098781
0.623994112 10267.5636447964
0.637716472 10245.2837056247
0.651438892 10222.9862019346
0.665161252 10200.9493556974
0.678883642 10178.9346909376
0.692606032 10156.9200261778
0.706328392 10134.4309186844
0.720050812 10112.2714219245
0.733773172 10090.4670295419
0.747495592 10068.996864852
0.761217952 10047.8351331048
0.774940372 10026.9643801877
0.788662732 10006.3635286784
0.802385092 9986.01387989262
0.816107512 9965.90026812327
0.829829872 9946.01216469623
0.843552291 9926.34489243115
0.857274652 9906.91014427886
0.870997071 9887.6576756799
0.884719431 9868.82934503398
0.898441821 9850.39303436461
0.912164211 9831.95672369525
0.925886571 9813.39831453096
0.939608991 9795.15245342519
0.953331351 9777.21272681953
0.967053771 9759.54408597216
0.980776131 9742.11613924783
0.994498551 9724.91429304098
1.00822091 9707.92568008729
1.02194333 9691.15440546564
1.03566563 9674.59461768218
1.04938805 9658.21943800535
1.06311047 9642.09548112572
1.07683289 9626.23734064887
1.09055519 9608.52897387934
1.10427761 9642.20765315855
1.119421065 7557.19464667419
1.13456452 5472.18164018983
1.15059936 4860.45326582101
1.16612196 4597.79788418914
1.18114924 4408.91872904515
1.1956979 4257.99299525873
1.20978367 4131.20676122358
