x Norm_heat_flux
0.0180187915 272188.2379332
0.0180262625 272499.811411882
0.0180387404 270262.19213864
0.0180562008 266670.653618891
0.0180786084 262209.324163592
0.0181059223 257164.594750498
0.0181380939 251513.227019947
0.0181750711 245181.750097075
0.0182168018 238283.810430563
0.0182632357 230745.488497563
0.0183143206 222518.138611651
0.01837001 213769.625376851
0.0184302628 204474.877701467
0.0184950344 194565.508384098
0.0185642689 185010.095226425
0.01863857075 174437.040545109
0.0187128726 163863.985863794
0.0187919755 153872.564149724
0.0188749339 143490.489480467
0.0189615451 133111.536277048
0.0190516002 122897.474757457
0.0191448946 112941.191113332
0.0192412194 103292.310629382
0.0193403661 93979.9805699909
0.0194421224 85089.9916635844
0.0195462685 76700.1345524924
0.0196525902 68807.8436126071
0.0197608657 61428.6029203849
0.0198708791 54575.1811781093
0.0199824255 48295.9754589936
0.0200953241 42411.2649083684
0.0202220436 37912.1153313511
0.0203487631 33412.9657543338
0.0205137152 31705.453783109
0.0207085144 30505.906880554
0.0209385343 29163.1390958463
0.0212101042 27919.7919050914
0.0215306729 26818.7309633741
0.0219090097 25718.1373382144
0.0223554168 24580.8172084352
0.0228819996 23377.8748335552
0.0235029534 22123.4835754849
0.0242349096 20928.4328885297
0.0250973199 19849.8644668409
0.0261128936 18836.8318728223
0.0273080822 17846.1609180781
0.0287136119 16942.084644858
0.0305085471 16255.8509558985
0.0323034823 15569.6172669391
0.03457601 15024.1040756642
0.0372364931 14622.8834029008
0.0403460413 14392.2288574573
0.0439734645 14296.2773060692
0.0481955446 14285.1595681452
0.0530969501 14379.4086660429
0.0587697774 14630.4888393603
0.0653124675 15093.1229975141
0.0728279725 15797.7351948221
0.0814209655 16716.8960771664
0.0911939517 17738.5611803109
0.102242149 18698.8221323519
0.11464712 19436.4907532556
0.128469378 19904.6177879666
0.144461401 20051.6666310713
0.160453424 20198.715474176
0.178558066 20109.0185975996
0.197952598 19930.5012637296
0.218482539 19704.820688786
0.239941671 19458.2367310685
0.262078047 19210.5590558835
0.28460446 18975.7202406866
0.307212591 18756.8296067062
0.329589576 18552.218524696
0.351435304 18363.2832233144
0.372477829 18193.9194123699
0.392486155 18043.6900866452
0.411278367 17912.5998630993
0.428725481 17790.9939776366
0.444750726 17695.450224181
0.4588992895 17598.0918552392
0.473047853 17500.7334862973
0.486770242 17434.4604506983
0.500492632 17361.9035330028
0.514214993 17290.7475612935
0.527937412 17222.0242251958
0.541659772 17155.8949175414
0.555382192 17092.0359493489
0.569104552 17029.968060188
0.582826912 16969.3258077076
0.596549332 16909.8145094738
0.610271692 16851.0452368651
0.623994112 16792.27947716
0.637716472 16733.2858805594
0.651438892 16673.0150925507
0.665161252 16613.6534440135
0.678883642 16557.8058533925
0.692606032 16501.9582627715
0.706328392 16447.8393720497
0.720050812 16396.6439197675
0.733773172 16348.6454105682
0.747495592 16303.240729075
0.761217952 16259.4159509181
0.774940372 16216.1752180896
0.788662732 16172.7932665333
0.802385092 16128.9228206286
