# integrated x-directed force on top, bottom and both walls (N) 
# mesh, top, bottom, both walls
coarse     2.0339544e+02  5.4315538e+01  2.5771098e+02 
medium     2.3023574e+02  5.4344480e+01  2.8458022e+02 
fine       2.3553637e+02  5.4178709e+01  2.8971508e+02  
ultrafine  2.3698563e+02  5.4066485e+01  2.9105211e+02  
