# X (m),  P (Pa)
3.8058166e-01 9.7135330e+04
3.6424477e-01 9.6701446e+04
3.4883575e-01 9.5884272e+04
3.3430170e-01 9.5087684e+04
3.2059270e-01 9.4225745e+04
3.0766170e-01 9.3298575e+04
2.9546428e-01 9.2322715e+04
2.8395862e-01 9.1326693e+04
2.7310564e-01 9.0342781e+04
2.6286898e-01 8.9399035e+04
2.5321479e-01 8.8513695e+04
2.4411122e-01 8.7689562e+04
2.3552806e-01 8.6919710e+04
2.2743640e-01 8.6204493e+04
2.1980838e-01 8.5544662e+04
2.1261711e-01 8.4933487e+04
2.0583687e-01 8.4364664e+04
1.9944324e-01 8.3832695e+04
1.9341318e-01 8.3338510e+04
1.8772491e-01 8.2876289e+04
1.8235800e-01 8.2437033e+04
1.7729319e-01 8.2013457e+04
1.7251238e-01 8.1599592e+04
1.6799863e-01 8.1195228e+04
1.6373601e-01 8.0797171e+04
1.5970955e-01 8.0405812e+04
1.5590517e-01 8.0037811e+04
1.5230962e-01 7.9688721e+04
1.4891043e-01 7.9344349e+04
1.4569584e-01 7.9004244e+04
1.4265474e-01 7.8667134e+04
1.3977664e-01 7.8329776e+04
1.3705166e-01 7.8001112e+04
1.3447044e-01 7.7700300e+04
1.3202412e-01 7.7411075e+04
1.2970433e-01 7.7118587e+04
1.2750313e-01 7.6830862e+04
1.2541300e-01 7.6538869e+04
1.2342680e-01 7.6252820e+04
1.2153774e-01 7.5986234e+04
1.1973937e-01 7.5729602e+04
1.1802556e-01 7.5477714e+04
1.1639044e-01 7.5221591e+04
1.1482844e-01 7.4972600e+04
1.1333422e-01 7.4736066e+04
1.1190269e-01 7.4494654e+04
1.1052895e-01 7.4253516e+04
1.0920831e-01 7.4021746e+04
1.0793625e-01 7.3795949e+04
1.0670843e-01 7.3573580e+04
1.0552063e-01 7.3355046e+04
1.0436881e-01 7.3130594e+04
1.0324900e-01 7.2899841e+04
1.0215738e-01 7.2666644e+04
1.0109021e-01 7.2423836e+04
1.0004383e-01 7.2168013e+04
9.9014653e-02 7.1894518e+04
9.7999149e-02 7.1594185e+04
9.6993835e-02 7.1257193e+04
9.5995261e-02 7.0866413e+04
9.5000000e-02 7.0402770e+04
9.4004637e-02 6.9839822e+04
9.3006647e-02 6.9125902e+04
9.2003497e-02 6.8183880e+04
9.0992641e-02 6.6869953e+04
8.9971510e-02 6.4934489e+04
8.8937512e-02 6.1994827e+04
8.7888019e-02 5.7571302e+04
8.6820363e-02 5.2188239e+04
8.5731831e-02 4.8018326e+04
8.4619654e-02 4.6330546e+04
8.3481003e-02 4.6183024e+04
8.2312982e-02 4.6463789e+04
8.1112618e-02 4.6816308e+04
7.9876855e-02 4.7177033e+04
7.8602548e-02 4.7544526e+04
7.7286451e-02 4.7924135e+04
7.5925211e-02 4.8318487e+04
7.4515362e-02 4.8728918e+04
7.3053310e-02 4.9156629e+04
7.1535330e-02 4.9602846e+04
6.9957551e-02 5.0068926e+04
6.8315953e-02 5.0556356e+04
6.6606350e-02 5.1066754e+04
6.4824383e-02 5.1601688e+04
6.2965508e-02 5.2162506e+04
6.1024987e-02 5.2750833e+04
5.8997870e-02 5.3368643e+04
5.6878991e-02 5.4017869e+04
5.4662948e-02 5.4700503e+04
5.2344093e-02 5.5418609e+04
4.9916518e-02 5.6174348e+04
4.7374041e-02 5.6969852e+04
4.4710186e-02 5.7807418e+04
4.1918175e-02 5.8691412e+04
3.8990903e-02 5.9625500e+04
3.5920924e-02 6.0604106e+04
3.2700452e-02 6.1615623e+04
2.9321321e-02 6.2654176e+04
2.5774964e-02 6.3720212e+04
2.2052392e-02 6.4814455e+04
1.8144171e-02 6.5938977e+04
1.4040402e-02 6.7102562e+04
9.7306884e-03 6.8313924e+04
5.2041237e-03 6.9581062e+04
4.4927022e-04 7.0896736e+04
-4.5458637e-03 7.2226658e+04
-9.7938406e-03 7.3547931e+04
-1.5307770e-02 7.4883872e+04
-2.1101212e-02 7.6270130e+04
-2.7187962e-02 7.7755529e+04
-3.3581473e-02 7.9480232e+04
-4.0293657e-02 8.1654045e+04
-4.7333028e-02 8.4454152e+04
-5.4701816e-02 8.8188841e+04
-6.2390690e-02 9.2998571e+04
-7.0379048e-02 9.8782188e+04
-7.8640991e-02 1.0575387e+05
-8.7159687e-02 1.1359877e+05
-9.6027991e-02 1.1979999e+05
-1.0575038e-01 1.2113927e+05
-1.1629702e-01 1.1938098e+05
-1.2738910e-01 1.1789371e+05
-1.3905190e-01 1.1704788e+05
-1.5131503e-01 1.1661721e+05
-1.6420959e-01 1.1650445e+05
-1.7776831e-01 1.1655959e+05
