# step, energy, mass, x-momentum, y-momentum, z-momentum 
68 1.3094023e+09 4.5518168e+03 2.4182451e+06 3.9996060e+05 0.0000000e+00
69 1.3505092e+09 4.6936671e+03 2.3448560e+06 3.7514960e+05 0.0000000e+00
70 1.4091542e+09 4.8946260e+03 2.2821183e+06 3.4897013e+05 0.0000000e+00
71 1.4859888e+09 5.1596092e+03 2.2303873e+06 3.2294087e+05 0.0000000e+00
72 1.5966546e+09 5.5469191e+03 2.1866910e+06 2.9714438e+05 0.0000000e+00
73 1.7058917e+09 5.9283283e+03 2.1460629e+06 2.7228062e+05 0.0000000e+00
74 1.7942286e+09 6.2337173e+03 2.1059259e+06 2.5270383e+05 0.0000000e+00
75 1.8549888e+09 6.4454645e+03 2.0651841e+06 2.4029849e+05 0.0000000e+00
76 1.8828114e+09 6.5440681e+03 2.0237471e+06 2.3572491e+05 0.0000000e+00
77 1.8766062e+09 6.5251762e+03 1.9815723e+06 2.4196304e+05 0.0000000e+00
78 1.8379610e+09 6.3938973e+03 1.9393851e+06 2.5228293e+05 0.0000000e+00
79 1.7693619e+09 6.1597137e+03 1.8975767e+06 2.6254698e+05 0.0000000e+00
80 1.6766682e+09 5.8424048e+03 1.8559165e+06 2.7047817e+05 0.0000000e+00
81 1.5647950e+09 5.4587536e+03 1.8148084e+06 2.7545102e+05 0.0000000e+00
82 1.4417217e+09 5.0360125e+03 1.7739778e+06 2.7721162e+05 0.0000000e+00
83 1.3180562e+09 4.6096657e+03 1.7359542e+06 2.7677865e+05 0.0000000e+00
84 1.2894468e+09 4.5099857e+03 1.7022236e+06 2.7308782e+05 0.0000000e+00
85 1.3403511e+09 4.6854269e+03 1.6720289e+06 2.6683950e+05 0.0000000e+00
86 1.4082527e+09 4.9192117e+03 1.6439864e+06 2.5894753e+05 0.0000000e+00
87 1.4775500e+09 5.1586127e+03 1.6172731e+06 2.4791012e+05 0.0000000e+00
88 1.5387335e+09 5.3712485e+03 1.5910607e+06 2.3371054e+05 0.0000000e+00
89 1.5832359e+09 5.5268284e+03 1.5654083e+06 2.1688575e+05 0.0000000e+00
90 1.6068810e+09 5.6107325e+03 1.5395352e+06 1.9873994e+05 0.0000000e+00
91 1.6072166e+09 5.6141031e+03 1.5130452e+06 1.8134354e+05 0.0000000e+00
92 1.5880438e+09 5.5493825e+03 1.4860752e+06 1.7288257e+05 0.0000000e+00
93 1.5589791e+09 5.4510455e+03 1.4588142e+06 1.7306896e+05 0.0000000e+00
94 1.5214941e+09 5.3270802e+03 1.4315878e+06 1.7943395e+05 0.0000000e+00
95 1.4626061e+09 5.1278252e+03 1.4034449e+06 1.8759452e+05 0.0000000e+00
96 1.3861585e+09 4.8674594e+03 1.3742942e+06 1.9500411e+05 0.0000000e+00
97 1.3096092e+09 4.6055223e+03 1.3451105e+06 2.0018868e+05 0.0000000e+00
