x Norm_pressure Norm_heat_flux
0.0180150419 66.6316376 268236.744217963
0.0180169381 66.6439056 269425.15551697
0.0180201065 66.569664 269478.923016955
0.0180245433 66.4122314 268713.488405392
0.0180302449 66.1739349 267464.747502333
0.0180372111 65.8572388 265981.289430912
0.0180454366 65.4640656 264394.503814438
0.0180549175 64.9953003 262685.656839448
0.01806565 64.4524307 260810.835202611
0.0180776287 63.8373833 258769.514979437
0.0180908442 63.1517372 256559.844367845
0.0181052946 62.3972397 254174.870829616
0.0181209706 61.5755959 251597.87896537
0.0181378648 60.6892319 248826.27123376
0.0181559697 59.7408676 245867.244068889
0.0181752779 58.7330513 242716.891121869
0.01819578 57.6690826 239376.783162487
0.0182174668 56.5525322 235859.800502993
0.0182403289 55.3865051 232173.945537964
0.0182643589 54.1739044 228317.458804501
0.0182895437 52.9187775 224301.46617039
0.0183158759 51.6251984 220143.596389967
0.0183433443 50.296257 215848.186393743
0.0183719378 48.9357147 211420.02176021
0.018401647 47.5481033 206878.564979424
0.0184324589 46.136116 202232.995770535
0.0184643641 44.7030525 197481.854772986
0.0184973478 43.2539177 192615.831788349
0.0185313988 41.7992058 187641.284168592
0.0185665023 40.3432693 182501.040911908
0.018602632 38.9285507 177777.438068123
0.0186399799 37.48334885 172352.440846798
0.0186773278 36.038147 166927.443625472
0.0187158808 34.6409798 162082.639582728
0.018755395 33.2385521 157174.477812962
0.018795846 31.8185139 152214.418411652
0.0188372135 30.3896389 147148.993981157
0.0188794713 28.9716358 141976.194136887
0.0189225972 27.5834846 136751.168455502
0.0189665668 26.2356052 131541.164953924
0.0190113559 24.9305935 126394.986897401
0.0190569405 23.6668415 121336.749867828
0.0191032961 22.4416676 116372.175883451
0.0191503987 21.2533665 111499.722277713
0.0191982221 20.1015759 106717.220083515
0.0192467421 18.9867649 102025.566596824
0.0192959309 17.9096909 97429.0064089686
0.0193457678 16.8710346 92931.9600575667
0.0193962213 15.8711367 88536.615077922
0.0194472689 14.9109182 84252.8427293652
0.0194988828 13.9908257 80086.8869472596
0.0195510369 13.1101189 76035.6632014401
0.0196037032 12.2684212 72102.443008916
0.0196568556 11.4657431 68289.6615145159
0.0197104663 10.7023563 64600.6323900936
0.0197645091 9.97842216 61039.856468208
0.019818956 9.2936182 57612.0028996886
0.0198737793 8.64698696 54320.1235948807
0.0199289545 8.03707218 51165.3263228666
0.0199844539 7.46195269 48144.7225735062
0.0200402513 6.92000103 45266.8327441137
0.0200963281 6.41038275 42522.4822343417
0.0201526638 5.94691944 39823.1635364297
0.0202143453 5.6730144 37424.7311608977
0.0202760268 5.39910936 35026.2987853657
0.0203487631 5.28978491 33750.5739643741
0.0204278119 5.20689774 32719.3580790827
0.0205137152 5.13944626 31899.9578397673
0.0206070691 5.07377911 31156.0789070069
