x Norm_pressure Norm_heat_flux
0.0180150419 66.6303024 267472.80509968
0.0180169381 66.6424179 268752.318035259
0.0180201065 66.5690231 268996.046303393
0.0180245433 66.4126587 268452.167515646
0.0180302449 66.1754074 267398.828366687
0.0180372111 65.8598633 266059.042033514
0.0180454366 65.4680862 264571.528063877
0.0180549175 65.0011292 262944.210564784
0.01806565 64.4602051 261155.199127896
0.0180776287 63.8468132 259211.430232444
0.0180908442 63.1622772 257109.051728626
0.0181052946 62.4081688 254833.780150093
0.0181209706 61.5864029 252365.481540344
0.0181378648 60.699543 249699.706555952
0.0181559697 59.7504845 246841.989525737
0.0181752779 58.7420349 243789.860376572
0.01819578 57.6775894 240547.397087781
0.0182174668 56.5607109 237128.433474043
0.0182403289 55.3944016 233538.59620336
0.0182643589 54.1817627 229776.744083881
0.0182895437 52.9268074 225855.367997392
0.0183158759 51.6333809 221789.907657396
0.0183433443 50.3045692 217581.952903727
0.0183719378 48.9442902 213236.253182157
0.018401647 47.5570145 208771.035444331
0.0184324589 46.1453934 204191.067202383
0.0184643641 44.7131729 199495.075781495
0.0184973478 43.265583 194679.100633694
0.0185313988 41.8126755 189747.102306952
0.0185665023 40.3586426 184634.248658391
0.018602632 38.9468002 179926.722869203
0.0186399799 37.4997902 174533.058239455
0.0186773278 36.0527802 169139.393609707
0.0187158808 34.6472244 164310.686695295
0.018755395 33.2340431 159377.885419142
0.018795846 31.8047581 154351.421097793
0.0188372135 30.3729725 149198.699003564
0.0188794713 28.9597263 143948.884266464
0.0189225972 27.5804043 138671.680924929
0.0189665668 26.2404842 133424.044188108
0.0190113559 24.9402065 128238.933121982
0.0190569405 23.6780777 123131.631868603
0.0191032961 22.4524059 118105.690468058
0.0191503987 21.2624989 113160.848965475
0.0191982221 20.1087914 108297.49980238
0.0192467421 18.9923229 103519.391748837
0.0192959309 17.9142303 98833.4867777226
0.0193457678 16.8753872 94246.713238404
0.0193962213 15.876112 89763.1459987775
0.0194472689 14.9171391 85394.0678028712
0.0194988828 13.9986267 81146.2647776386
0.0195510369 13.1194744 77016.0260923733
0.0196037032 12.2789726 73005.9222892484
0.0196568556 11.476862 69117.7433432401
0.0197104663 10.7132483 65354.2001119311
0.0197645091 9.98826027 61719.0830183883
0.019818956 9.30176163 58216.9630528757
0.0198737793 8.65312672 54851.0977811567
0.0199289545 8.0413847 51624.4971594701
0.0199844539 7.46499777 48534.8476898231
0.0200402513 6.922575 45594.8152969744
0.0200963281 6.41298771 42787.8034180575
0.0201526638 5.94946671 40071.962931943
0.0202143453 5.67681098 37639.4820386327
0.0202760268 5.40415525 35207.0011453224
0.0203487631 5.29548597 33953.0141722809
0.0204278119 5.21037292 32916.3625202092
0.0205137152 5.14330101 32129.3166255975
0.0206070691 5.0761981 31392.738108889
0.0207085144 5.01303864 30692.9819488859
0.0208187513 4.95537663 30053.4242110759
0.0209385343 4.89665174 29476.2987007224
0.0210686885 4.83019209 28919.8640926546
0.0212101042 4.75487328 28335.1063474049
0.0213637482 4.67647552 27726.1501157327
0.0215306729 4.59975624 27121.6410193777
0.0217120145 4.52356625 26536.5817666238
0.0219090097 4.44320488 25968.2944208143
0.0221229922 4.35476494 25395.1861667365
0.0223554168 4.25862312 24798.1246269129
0.0226078518 4.15899706 24188.9838172447
0.0228819996 4.0579195 23583.7502597829
0.0231797025 3.9537549 22981.2438196294
0.0235029534 3.84607053 22367.4829394146
0.0238539111 3.73916674 21757.3022098895
0.0242349096 3.63565135 21176.7367638873
0.0246484708 3.53055382 20607.8489122864
0.0250973199 3.4201076 20025.1172091399
0.0255844016 3.30937648 19428.9297801197
0.0261128936 3.20922375 18866.7347126033
0.0266862232 3.12250829 18385.4357946356
0.0273080822 3.03926921 17963.2216080268
0.027982451 2.95038533 17553.1277420513
0.0287136119 2.8569293 17124.4743026349
0.0295061674 2.76897931 16704.1413261292
0.0304008862 2.698465465 16331.331362218
0.031295605 2.62795162 15958.5213983068
0.0323034823 2.56896472 15623.4965776301
0.0333947837 2.51580381 15331.582813452
0.03457601 2.46970129 15091.1752429785
0.0358541161 2.43068695 14898.1609585851
0.0372364931 2.39707971 14732.1412312033
0.0387310162 2.36864471 14580.6932290089
0.0403460413 2.34736848 14456.424361822
0.0420904085 2.33445048 14370.1394180335
0.0439734645 2.32897711 14316.8839990354
0.0460050628 2.32980585 14292.1234480247
0.0481955446 2.33657789 14294.6519357224
0.0505557396 2.34944439 14327.2060140923
0.0530969501 2.36856604 14395.3847497515
