x Norm_pressure Norm_heat_flux
0.0180150419 66.3656616 264270.498314658
0.0180169381 66.1207275 263141.032535656
0.0180201065 65.8014908 261962.529632391
0.0180245433 65.4092331 260805.413286708
0.0180302449 64.9420471 259640.726131759
0.0180372111 64.3995972 258400.005689636
0.0180454366 63.7828903 257029.391117485
0.0180549193 63.0930443 255443.820965683
0.01806565 62.3319588 253574.850822684
0.0180776287 61.5029678 251422.35020921
0.0180908442 60.6089325 248994.919717147
0.0181052946 59.6532707 246309.028842617
0.0181209706 58.6391716 243379.652592149
0.0181378648 57.5697098 240224.813165291
0.0181559715 56.4482269 236863.504330377
0.0181752779 55.2783966 233311.936632346
0.01819578 54.0634079 229582.464451583
0.0182174668 52.8066978 225685.690735071
0.0182403289 51.5121536 221632.868818816
0.0182643589 50.1828041 217426.465764886
0.0182895437 48.8225594 213078.429460527
0.0183158759 47.4355583 208605.003572339
0.0183433443 46.0251045 204008.396211206
0.0183719378 44.5956192 199290.028597586
0.018401647 43.1525803 194459.63850047
0.0184324589 41.700489 189528.874708449
0.0184643641 40.2431335 184528.919761929
0.0184973478 38.7810974 179486.938443197
0.0185314007 37.317215 174412.951560913
0.0185665023 35.850647 169153.340840989
0.018602632 34.4244804 164222.258880264
0.0186399799 32.9892864 158711.067548802
0.0186773278 31.5540924 153199.876217341
0.0187158808 30.2024441 148157.277631249
0.018755395 28.8832722 143097.732797821
0.018795846 27.5778732 138105.724039418
0.0188372135 26.2767181 133147.374920356
0.0188794713 24.9790325 128169.789140761
0.0189225972 23.6933117 123149.438275496
0.0189665668 22.432621 118102.05411091
0.0190113559 21.2091465 113069.009619131
0.0190569405 20.0309334 108098.126459751
0.0191032961 18.9011536 103228.607634113
0.0191503987 17.8192329 98484.1310163134
0.0191982221 16.7825642 93871.4741016005
0.0192467421 15.7882814 89387.2057867688
0.0192959309 14.8344536 85026.2692971605
0.0193457678 13.9201994 80785.813459783
0.0193962213 13.0450287 76663.5108253976
0.0194472689 12.2092886 72665.2643769736
0.0194988828 11.4131956 68796.1498588488
0.0195510369 10.656002 65054.2181113262
0.0196037032 9.93712044 61443.4655139968
0.0196568556 9.25594902 57966.4110195339
0.0197104663 8.61174393 54624.2044514953
0.0197645091 8.00359631 51416.986024922
0.019818956 7.43047047 48344.3630975515
0.0198737793 6.89127588 45405.8450672934
0.0199289545 6.38484812 42600.8100498282
0.0199844539 5.90980244 39928.3002268764
0.0200402513 5.46468067 37393.0125513907
0.0200963281 5.04861879 34992.4746417636
0.0201526638 4.67276955 32645.2762600856
0.0202143453 4.44414115 30606.3301074006
0.0202760268 4.21551275 28567.3839547156
0.0203487631 4.11511612 27423.2961658193
0.0204278119 4.0401969 26497.8572227618
0.0205137152 3.98136234 25749.1478467089
0.0206070691 3.92969561 25097.2092311815
0.0207085144 3.88217878 24511.8883172881
0.0208187513 3.83526516 23954.7222223062
0.0209385343 3.7879529 23420.6889995087
0.0210686885 3.74025154 22914.0114602207
0.0212101042 3.69016933 22416.5014954728
0.0213637482 3.63619733 21908.3120024424
0.0215306729 3.57975698 21389.3401032362
0.0217120145 3.52249455 20867.6596549266
0.0219090097 3.46445251 20358.0213400514
0.0221229922 3.40408421 19858.5553905365
0.0223554168 3.33972502 19353.1957923392
0.0226078518 3.2709794 18839.5286787904
0.0228819996 3.19753647 18313.6967812847
0.0231797025 3.11990857 17770.3709245761
0.0235029534 3.04054117 17215.0661666994
0.0238539111 2.96171498 16666.6225111776
0.0242349096 2.88292027 16135.0571533971
0.0246484708 2.8021102 15608.4657661166
0.0250973199 2.71931386 15079.6508111774
0.0255844016 2.63645315 14554.4335714464
0.0261128936 2.55439138 14035.9921206953
0.0266862232 2.4731741 13525.390868738
0.0273080822 2.39414406 13030.5532200012
0.027982451 2.31939411 12563.4298720549
0.0287136119 2.24898958 12132.1333239123
0.0295061674 2.18083072 11731.6043920671
0.0304008862 2.1122787 11331.4662456637
0.031295605 2.04372668 10931.3280992603
0.0323034823 1.97951412 10539.2540239837
0.0333947837 1.9234823 10189.3606879434
0.03457601 1.87482512 9886.67851901972
0.0358541161 1.82997835 9614.30635548689
0.0372364931 1.78687835 9354.22505904239
0.0387310162 1.74647105 9102.36553298907
0.0403460413 1.71107757 8871.39956361622
0.0420904085 1.68190801 8675.28772120333
0.0439734645 1.65793574 8512.75816399276
0.0460050628 1.63741004 8375.24969480323
0.0481955446 1.61955142 8256.66419388468
0.0505557396 1.60468185 8154.48600065629
0.0530969501 1.59368145 8070.88549741495
0.0558309145 1.58712327 8010.69538574838
0.0587697774 1.58474791 7976.28584184085
0.0619260333 1.58579612 7965.80489298472
0.0653124675 1.58959591 7976.97054691487
0.0689420775 1.59575152 8006.51351480635
0.0728279725 1.60404384 8050.68833875931
0.076983273 1.61429524 8108.37330848237
0.0814209655 1.62623239 8179.15246606963
0.086153768 1.63945341 8262.51810660803
0.0911939517 1.65345943 8357.38475289841
0.0965531468 1.66771555 8461.96702684997
0.102242149 1.68174016 8574.22714322431
0.108270667 1.69517303 8692.51820259357
0.11464712 1.70780146 8815.73775541539
0.121378347 1.71952248 8943.10003539541
0.128469378 1.73030198 9073.64865952615
0.135923132 1.74040675 9208.50008881719
0.1439208535 1.74923265 9343.84226071498
0.151918575 1.75805855 9479.18443261276
0.160453424 1.76561117 9610.23899516785
0.16933693 1.77283573 9739.51342891392
0.178558066 1.7797097 9864.30863947705
0.188102499 1.78622973 9982.7363909468
0.197952598 1.79238749 10093.2876904567
0.20808737 1.79816484 10194.7367353612
0.218482539 1.80355334 10286.2272001862
0.229110733 1.80856597 10367.3534951101
0.239941671 1.8132304 10438.1285676922
0.250942498 1.81757355 10498.8877496806
0.262078047 1.82160759 10550.1286689733
0.273311466 1.82532668 10592.378461859
0.28460446 1.82871866 10626.3323821597
0.295917958 1.83177817 10652.7544362407
0.307212591 1.83451223 10672.3796239197
0.318449229 1.8369416 10686.0177196786
0.329589576 1.83909523 10694.481910534
0.340596676 1.84100461 10698.5539681071
0.351435304 1.84269845 10698.9465100008
0.362072468 1.84420133 10696.2999887396
0.372477829 1.84553277 10691.1705471599
0.382623851 1.84670889 10684.0453748172
0.392486155 1.84774315 10675.3357825478
0.402043581 1.84864902 10665.4226694788
0.411278367 1.84943664 10654.5702059667
0.420176059 1.85012424 10643.1720379606
0.428725481 1.85071337 10631.1790851778
0.436918706 1.85123634 10619.4525108623
0.444750726 1.85164595 10606.9841116591
0.452219486 1.85213923 10601.271528069
0.4592030645 1.85226291 10582.3450569313
0.466186643 1.85238659 10563.4185857935
0.473047853 1.85271144 10556.9804370413
0.479909033 1.85302854 10547.5090465174
0.486770242 1.85333729 10537.5632132599
0.493631423 1.85362244 10527.2996127726
0.500492632 1.8538717 10516.7077063447
0.507353783 1.85408604 10505.8306525068
0.514214993 1.85427427 10494.7432259231
0.521076202 1.85444474 10483.5039415319
0.527937412 1.85460222 10472.1525453291
0.534798563 1.85474873 10460.7099139993
0.541659772 1.85488462 10449.1926083743
0.548520982 1.85500991 10437.6085575794
0.555382192 1.85512424 10425.9697054872
0.562243342 1.85522711 10414.2840815917
0.569104552 1.85531878 10402.562224604
0.575965762 1.85540009 10390.8146732352
0.582826912 1.85547209 10379.050761772
0.589688122 1.85553622 10367.277516022
0.596549332 1.85559309 10355.5007573683
0.603410542 1.85564327 10343.721690235
0.610271692 1.85568762 10331.9449315813
0.617132902 1.85572839 10320.1833285977
0.623994112 1.8557694 10308.4580590751
0.630855262 1.85581517 10296.7923081775
0.637716472 1.85586965 10285.2071533272
0.644577682 1.85593379 10273.7131332351
0.651438892 1.85600388 10262.293887807
0.658300042 1.85607564 10250.9319528931
0.665161252 1.85613012 10239.5396062703
0.672022462 1.85620248 10228.2746274979
0.678883642 1.856263995 10217.0529076251
0.685744822 1.85632551 10205.8311877522
0.692606032 1.85627818 10194.1945437709
0.699467242 1.85623074 10182.6234405353
0.706328392 1.8561945 10171.1715752873
0.713189602 1.85617411 10159.8575162321
0.720050812 1.85617018 10148.6894936012
0.726911962 1.85617995 10137.6523517244
0.733773172 1.85619819 10126.7239091242
0.740634382 1.85621905 10115.8772669954
0.747495592 1.85623777 10105.0889390675
0.754356742 1.85625136 10094.3462788875
0.761217952 1.85625875 10083.6433647033
0.768079162 1.85626054 10072.9836090501
0.774940372 1.85625803 10062.3741381037
0.781801522 1.85625315 10051.8230817271
0.788662732 1.85624695 10041.3339528238
0.795523942 1.85624039 10030.9125627403
0.802385092 1.85623348 10020.5589616609
0.809246302 1.85622609 10010.2696366818
0.816107512 1.85621774 10000.045742043
0.822968721 1.85620773 9989.88261060092
0.829829872 1.85619605 9979.78139659535
0.836691082 1.85618234 9969.73978150986
0.843552291 1.85616672 9959.76009389776
0.850413442 1.85614944 9949.84349803568
0.857274652 1.85613072 9939.99116823715
0.864135861 1.85611105 9930.20543305546
0.870997071 1.85609007 9920.48397397418
0.877858222 1.85607016 9910.83728955687
0.884719431 1.85604358 9901.22799247155
0.891580641 1.85604322 9891.79630779611
0.898441821 1.85606104 9882.54981838406
0.905303001 1.85607886 9873.30332897201
0.912164211 1.85603344 9863.86696711624
0.919025421 1.85599113 9854.50771851461
0.925886571 1.85595429 9845.23376321424
0.932747781 1.8559221 9836.03810551839
0.939608991 1.85589361 9826.91604817299
0.946470201 1.85586834 9817.86410838498
0.953331351 1.85584533 9808.88110180397
0.960192561 1.85582387 9799.96060483466
0.967053771 1.85580313 9791.09970678545
0.973914921 1.85578251 9782.2954668541
0.980776131 1.85576153 9773.54498438586
0.987637341 1.85574007 9764.84823930701
0.994498551 1.8557179 9756.20350527631
1.0013597 1.85569513 9747.61017004483
1.00822091 1.85567176 9739.06941796295
1.01508212 1.85564804 9730.5795026157
1.02194333 1.85562372 9722.141568206
1.02880454 1.85559928 9713.75564484444
1.03566563 1.85557473 9705.42229459562
1.04252684 1.85555005 9697.14035318289
1.04938805 1.85552573 9688.91157705809
1.05624926 1.85550129 9680.73420976937
1.06311047 1.85547781 9672.6111820821
1.06997168 1.85545385 9664.53780677907
1.07683289 1.85543144 9656.51526821068
1.08369398 1.8554101 9648.56925072123
1.09055519 1.85538089 9640.54203497252
1.0974164 1.8554002 9632.84315527514
1.10427761 1.85519731 9625.09986243842
1.11113882 1.85345006 9694.82858153148
1.118744255 1.45349419 7793.2413085606
1.12634969 1.05353832 5891.65403558973
1.13456452 0.974274576 5303.94831175903
1.14264703 0.932301283 5079.20664563631
1.15059936 0.900622308 4907.83897406608
1.15842354 0.875282168 4766.47288498074
1.16612196 0.854124546 4645.26772145882
1.1736964 0.83599627 4539.52665098994
1.18114924 0.820144892 4445.97742387319
1.1884824 0.806043208 4362.13593543964
1.1956979 0.793321371 4286.15837295505
1.20279765 0.781728208 4216.73344977194
1.20978367 0.771096587 4152.9503602988
1.21665788 0.761312902 4094.16267003796
1.22342205 0.752294064 4039.87787993084
1.23007822 0.743972898 3989.68935632158
1.23662806 0.736291468 3943.24132236271
1.24307346 0.729197919 3900.21596064016
1.24941611 0.722646058 3860.32992034341
1.25565791 0.716594756 3823.33080436172
1.26180029 0.711007476 3788.99575408587
1.26784515 0.705851614 3757.12524662389
1.27379405 0.701097846 3727.54050528925
1.27964866 0.69671911 3700.07824028221
1.28541064 0.692690372 3674.58890227483
1.29108143 0.688988149 3650.93227622606
1.29666269 0.685590267 3628.97922779678
1.30215597 0.682475507 3608.6059321508
1.30756259 0.679624856 3589.70370004839
1.31288421 0.677016914 3572.14693012781
1.31812239 0.674642801 3555.8921125678
1.32327819 0.672449052 3540.76395347492
1.32831371 0.670515269 3527.0348684924
1.33334923 0.668581486 3513.30578350988
1.33826709 0.666974485 3501.22611219058
1.3431083 0.665519118 3490.05081283061
1.34787416 0.664202392 3479.6598244192
1.352566 0.663014412 3469.99093845066
1.35718524 0.66194582 3460.99479360989
1.36173296 0.660988092 3452.62522030574
1.36621046 0.660132766 3444.83782547258
1.37061894 0.65937227 3437.59054459812
1.37495971 0.658699214 3430.84452496768
1.37923396 0.658106863 3424.56412566427
1.38344264 0.657589078 3418.71577336559
1.38758719 0.657139957 3413.26877533038
1.39166856 0.656754196 3408.19421534295
1.39568794 0.656426728 3403.4660979161
1.3996464 0.656153083 3399.05960187613
1.40354514 0.655929029 3394.95222456578
1.40738499 0.655750573 3391.12322981649
1.41116726 0.655614197 3387.55333680551
1.41489279 0.655516565 3384.2244390236
1.41856265 0.655454636 3381.1204574088
1.42217791 0.655425489 3378.22622625408
1.42573953 0.655426621 3375.52711180643
1.42924857 0.65545553 3373.01028694898
1.43270576 0.655510068 3370.66346655574
1.43611228 0.65558821 3368.47613198941
1.43946886 0.655687809 3366.43631930375
1.44277668 0.655808032 3364.53906024929
1.44603634 0.655944586 3362.75279891414
1.44924903 0.656104088 3361.13829849503
1.45241535 0.656246722 3359.64210263488
1.455514135 0.6563823225 3358.05593629314
1.45861292 0.656517923 3356.4697699514
1.46164584 0.656741083 3355.17863733414
1.46463585 0.6569736 3354.06978427023
1.46758378 0.657214105 3353.05470566074
1.47049057 0.657461703 3352.10825915222
1.47335696 0.657716095 3351.22549656893
1.47618377 0.657976866 3350.4052536342
1.47897172 0.658243597 3349.64518172102
1.48172152 0.658515871 3348.94265117007
1.48443401 0.658793151 3348.29475128971
1.4871099 0.659075022 3347.69855131461
1.48974991 0.659361064 3347.15142158543
1.49235487 0.659650862 3346.65045141056
1.49492526 0.659944057 3346.19330219984
1.49746203 0.660240233 3345.77733425707
1.49996579 0.660539091 3345.40051009813
1.50243723 0.660840333 3345.06049113285
1.50487697 0.661143661 3344.75522984023
1.50728571 0.661448777 3344.48269877301
1.50966418 0.661755443 3344.24141247477
1.51201296 0.66206342 3344.02933346139
1.51433265 0.66237253 3343.84530749308
1.51662397 0.662682533 3343.68727701198
1.51888752 0.662993312 3343.55436881059
1.52112389 0.663304627 3343.44482643709
1.52333367 0.663616359 3343.35777668399
1.52551758 0.663928211 3343.29117203028
1.52767622 0.664240897 3343.24705999698
1.52981007 0.664552033 3343.20354013886
1.53191972 0.664867163 3343.2292445569
1.53400576 0.665153563 3343.314246789
