# 2nd order sccfv low-dissipation flux splitting inviscid flux
# l2-error: total enthalpy L2 norm error
# linf-error: total enthalpy L infinity norm error
ndof,l2-error,xattach,linf-error
12,1.468437538798578190e-03,nan,4.784518561545159088e-03
48,4.855088890003831292e-04,nan,1.402700560372061034e-03
192,1.726142937172162745e-03,nan,1.716016640426687445e-02
768,6.321767667534574113e-04,nan,6.015131484614855140e-03
3072,4.162628762831800579e-04,nan,6.234862715599032157e-03
12288,1.047279574630523665e-04,nan,3.125491478081166008e-03
49152,9.386586050526592986e-05,nan,5.801457211013882898e-03
196608,6.098542031982613778e-05,nan,5.737697141920961030e-03
