# 2nd order sccfv hybrid central/upwind inviscid flux of Subbareddy-Candler
# l2-error: total enthalpy L2 norm error
# linf-error: total enthalpy L infinity norm error
ndof,l2-error,xattach,linf-error
12,3.235302528099114755e-02,nan,5.960834061380193560e-02
48,2.304842995961786309e-02,nan,5.234030254640797963e-02
192,6.675676198140264792e-03,nan,2.423642248210411410e-02
768,3.386252262141257238e-03,nan,2.097918897707229391e-02
3072,1.960858455919855473e-03,nan,3.453956803162228084e-02
12288,1.137886856715523238e-03,nan,3.520558620983615938e-02
49152,7.268383806959270894e-04,nan,4.034859593058914840e-02
1966084.847777926728921521e-04,nan,4.302664561398605869e-02
