# entropy-stable dg using p1-lgl solution points, artificial viscosity
# l2-error: total enthalpy L2 norm error
# linf-error: total enthalpy L infinity norm error
ndof,l2-error,xattach,linf-error
96,8.641825686338788434e-03,nan,4.737120077407785956e-02
384,9.044698683918090884e-03,nan,9.583738967000687836e-02
1536,5.465266319776835961e-03,nan,1.194959312683661068e-01
6144,4.005455161639224354e-03,nan,1.792560383968440085e-01
24576,9.026403572670182876e-04,nan,2.149668483811506547e-02
98304,3.261015981207480638e-03,nan,4.440517466726090490e-02
393216,1.444311070484066272e-03,nan,7.590206365314378090e-02
1572864,1.003227732992044430e-03,nan,8.392395463385105003e-02
