# entropy-stable dg using p2-lgl solution points, artificial viscosity, and with quadratic mesh
# l2-error: total enthalpy L2 norm error
# linf-error: total enthalpy L infinity norm error
ndof,l2-error,xattach,linf-error
324,6.610158990764943843e-01,nan,5.744966900675489541e+00
1296,1.057745394825829882e-02,nan,2.014433686145449265e-01
5184,2.055058168320554775e-03,nan,4.197070779322498169e-02
20736,1.930675154250018760e-03,nan,7.438187641135707295e-02
82944,1.298096746127515126e-03,nan,6.775008996636922021e-02
331776,2.542802933095310476e-03,nan,5.915390166494693958e-02
1327104,1.762937863397142204e-03,nan,6.924351262587213895e-02
