x Norm_heat_flux
0.0180150419 265871.651707169
0.0180169381 266166.427484157
0.0180201065 265912.865093102
0.0180245433 265152.235631925
0.0180302449 263936.762930368
0.0180372111 262389.405141072
0.0180454366 260668.687060872
0.0180549184 258838.471773076
0.01806565 256891.17843155
0.0180776287 254813.121767258
0.0180908442 252573.521216342
0.0181052946 250145.940673108
0.0181209706 247505.030522781
0.0181378648 244645.919873494
0.0181559706 241583.247496709
0.0181752779 238325.584877397
0.01819578 234879.989439043
0.0182174668 231260.56699544
0.0182403289 227474.888355854
0.0182643589 223521.356152798
0.0182895437 219412.177726548
0.0183158759 215160.327234068
0.0183433443 210768.42229044
0.0183719378 206246.707526473
0.018401647 201611.466756236
0.0184324589 196866.887862755
0.0184643641 192027.197604077
0.0184973478 187103.78029733
0.01853139975 182091.49706628
0.0185665023 176885.942406287
0.018602632 172023.761534585
0.0186399799 166558.167692844
0.0186773278 161092.573851103
0.0187158808 156068.292046624
0.018755395 150988.944473329
0.018795846 145956.081648854
0.0188372135 140944.886414257
0.0188794713 135904.25154132
0.0189225972 130810.526656964
0.0189665668 125678.963283422
0.0190113559 120550.390896439
0.0190569405 115472.459525169
0.0191032961 110484.011847406
0.0191503987 105607.767818601
0.0191982221 100849.886562584
0.0192467421 96207.79889216
0.0192959309 91678.6716505135
0.0193457678 87261.9442785864
0.0193962213 82956.9809408133
0.0194472689 78770.8624967662
0.0194988828 74709.4755693202
0.0195510369 70771.3900553885
0.0196037032 66961.0411966001
0.0196568556 63281.661115259
0.0197104663 59735.1986197719
0.0197645091 56322.679728934
0.019818956 53044.7002312089
0.0198737793 49901.7626223753
0.0199289545 46894.1941043186
0.0199844539 44021.8521033337
0.0200402513 41290.045971853
0.0200963281 38701.7961546418
0.0201526638 36147.7982021475
0.0202143453 33933.9153179413
0.0202760268 31720.0324337351
0.0203487631 30498.6871107338
0.0204278119 29537.5088893585
0.0205137152 28744.8228271569
0.0206070691 28062.2370377438
0.0207085144 27434.2982288437
0.0208187513 26829.5623996485
0.0209385343 26259.0526906045
0.0210686885 25721.8541910415
0.0212101042 25186.8395131411
0.0213637482 24634.4885552286
0.0215306729 24075.5721810821
0.0217120145 23523.4958820528
0.0219090097 22986.9796887524
0.0221229922 22455.3453275068
0.0223554168 21908.7980879426
0.0226078518 21347.5670113793
0.0228819996 20774.0426789532
0.0231797025 20191.8169343048
0.0235029534 19610.3951929393
0.0238539111 19043.4953437133
0.0242349096 18493.5683897063
0.0246484708 17943.8902998325
0.0250973199 17389.0219951455
0.0255844016 16844.03930251
0.0261128936 16319.6276217764
0.0266862232 15813.7948354539
0.0273080822 15326.1647115588
0.027982451 14863.8571028939
0.0287136119 14428.4476973112
0.0295061674 14029.4961595854
0.0304008862 13657.4769251996
0.031295605 13285.4576908138
0.0323034823 12940.2604545925
0.0333947837 12637.3187824559
0.03457601 12365.9614767214
0.0358541161 12111.7352472401
0.0372364931 11872.8238224423
0.0387310162 11656.4219301637
0.0403460413 11477.5125060591
0.0420904085 11335.769050824
0.0439734645 11217.4423605746
0.0460050628 11120.2048857036
0.0481955446 11045.2742989939
0.0505557396 10995.3542314836
0.0530969501 10972.6344265872
0.0558309145 10978.2721351446
0.0587697774 11013.5872554356
0.0619260333 11080.2330101147
0.0653124675 11181.4676675262
0.0689420775 11319.0164648499
0.0728279725 11493.6213273424
0.076983273 11707.8714657504
0.0814209655 11962.9109324329
0.086153768 12257.650125038
0.0911939517 12588.0291306025
0.0965531468 12945.8876244389
0.102242149 13319.2690374096
0.108270667 13693.5301818295
0.11464712 14053.7775505346
0.121378347 14387.578425386
0.128469378 14679.0978912186
0.135923132 14945.0529533106
0.1439208535 15138.9856612781
0.151918575 15332.9183692455
0.160453424 15448.3712031815
0.16933693 15534.5762033192
0.178558066 15593.0884317475
0.188102499 15625.7610455243
0.197952598 15635.359854083
0.20808737 15624.8595842566
0.218482539 15597.1417705624
0.229110733 15555.1870114012
0.239941671 15502.0940391059
0.250942498 15440.705093857
0.262078047 15373.2156400835
0.273311466 15301.2517507129
0.28460446 15226.373656821
0.295917958 15150.1647244634
0.307212591 15074.0423099049
0.318449229 14999.1303415847
0.329589576 14926.1539330059
0.340596676 14855.5015611307
0.351435304 14787.3759205014
0.362072468 14721.9015184611
0.372477829 14659.1782218428
0.382623851 14599.2866768781
0.392486155 14542.2700420979
0.402043581 14488.1652029909
0.411278367 14436.8903089012
0.420176059 14388.5844206303
0.428725481 14342.6452759348
0.436918706 14300.5000170256
0.444750726 14258.7409767835
0.452219486 14226.6858311043
0.4592030645 14189.8389342574
0.466186643 14152.9920374104
0.473047853 14129.3678103704
0.479909033 14099.242352865
0.486770242 14068.2657187988
0.493631423 14037.6764074551
0.500492632 14007.6730484447
0.507353783 13978.1803652601
0.514214993 13949.119367753
0.521076202 13920.4562316795
0.527937412 13892.1950219709
0.534798563 13864.3503924539
0.541659772 13836.9340360795
0.548520982 13809.9388266716
0.555382192 13783.3374137658
0.562243342 13757.0964749615
0.569104552 13731.2084324237
0.575965762 13705.7106233
0.582826912 13680.6708466314
0.589688122 13656.1475169876
0.596549332 13632.1348129853
0.603410542 13608.5444603736
0.610271692 13585.228164433
0.617132902 13562.0397883706
0.623994112 13538.8917103318
0.630855262 13515.8072660338
0.637716472 13492.8421099079
0.644577682 13470.2087726263
0.651438892 13447.7342687753
0.658300042 13426.1309148517
0.665161252 13404.0016792478
0.672022462 13382.8499341839
0.678883642 13365.9542224772
0.685744822 13349.0585107705
0.692606032 13330.5818920406
0.699467242 13310.2526682805
0.706328392 13288.9460543489
0.713189602 13267.5460473638
0.720050812 13246.5145941587
0.726911962 13225.9452383402
0.733773172 13205.7633056127
0.740634382 13185.8699830145
0.747495592 13166.2067556071
0.754356742 13146.750990254
0.761217952 13127.5037408262
0.768079162 13108.4726855275
0.774940372 13089.6636959255
0.781801522 13071.0760694395
0.788662732 13052.7069455622
0.795523942 13034.5463376102
0.802385092 13016.5815489461
0.809246302 12998.8001338538
0.816107512 12981.1922060188
0.822968721 12963.7473772831
0.829829872 12946.4602277381
0.836691082 12929.3302053562
0.843552291 12912.3538474179
0.850413442 12895.5434490861
0.857274652 12878.872613399
0.864135861 12862.4291127641
0.870997071 12845.9996135596
0.877858222 12830.0737141892
0.884719431 12813.7867385053
0.891580641 12797.8403639249
0.898441821 12785.0973058385
0.905303001 12772.3542477521
0.912164211 12759.4534602906
0.919025421 12745.3275727641
0.925886571 12730.1185064811
0.932747781 12714.3099882779
0.939608991 12698.3700372928
0.946470201 12682.5954938866
0.953331351 12667.1030868299
0.960192561 12651.8928663072
0.967053771 12636.9198169669
0.973914921 12622.1395256698
