x Norm_heat_flux
0.0180150419 264902.954466765
0.0180169381 263646.773233718
0.0180201065 262300.649622313
0.0180245433 260921.155433354
0.0180302449 259490.062711508
0.0180372111 257972.990166651
0.0180454366 256352.740629755
0.0180549193 254561.037304964
0.01806565 252526.745900203
0.0180776287 250240.856319386
0.0180908442 247702.880770744
0.0181052946 244920.467347426
0.0181209706 241902.176493846
0.0181378648 238665.247533876
0.0181559715 235226.559467837
0.0181752779 231601.126446044
0.01819578 227803.063315467
0.0182174668 223841.790680082
0.0182403289 219729.069741396
0.0182643589 215470.021309283
0.0182895437 211075.078707662
0.0183158759 206558.37384618
0.0183433443 201920.431653016
0.0183719378 197162.261837054
0.018401647 192297.921031435
0.0184324589 187345.021931505
0.0184643641 182338.655433933
0.0184973478 177305.498529236
0.0185314007 172248.673686942
0.0185665023 167017.833648128
0.018602632 162117.487587199
0.0186399799 156608.95552382
0.0186773278 151100.423460442
0.0187158808 146059.740912383
0.018755395 141018.629790077
0.018795846 136071.853179412
0.0188372135 131186.275365538
0.0188794713 126298.1923495
0.0189225972 121369.699900627
0.0189665668 116407.902113841
0.0190113559 111453.339904942
0.0190569405 106557.376944114
0.0191032961 101763.124588961
0.0191503987 97096.3079334752
0.0191982221 92563.9652307248
0.0192467421 88162.0490134629
0.0192959309 83884.735690343
0.0193457678 79728.4547460685
0.0193962213 75690.359624606
0.0194472689 71775.6008449573
0.0194988828 67988.1419661562
0.0195510369 64325.3560388333
0.0196037032 60790.7113026043
0.0196568556 57386.3293505523
0.0197104663 54113.033005087
0.0197645091 50970.7988803068
0.019818956 47959.0660156789
0.0198737793 45077.4512035965
0.0199289545 42325.1879284775
0.0199844539 39701.9489884366
0.0200402513 37211.7189195609
0.0200963281 34855.8717690313
0.0201526638 32530.3830317052
0.0202143453 30517.0830832321
0.0202760268 28503.7831347589
0.0203487631 27355.5894640456
0.0204278119 26442.1317306357
0.0205137152 25678.9710718072
0.0206070691 25019.6104937608
0.0207085144 24424.4839616509
0.0208187513 23851.6233170979
0.0209385343 23296.5393703095
0.0210686885 22764.7916426439
0.0212101042 22242.5434087316
0.0213637482 21711.3285383693
0.0215306729 21166.5970183468
0.0217120145 20614.1187427682
0.0219090097 20070.6422326762
0.0221229922 19537.2189503256
0.0223554168 18997.1611980916
0.0226078518 18444.7636189289
0.0228819996 17875.2259805166
0.0231797025 17285.9277570807
0.0235029534 16684.2473511346
0.0238539111 16088.3263005817
0.0242349096 15508.6711984751
0.0246484708 14933.5799604563
0.0250973199 14354.3688893743
0.0255844016 13777.460777574
0.0261128936 13207.9371907764
0.0266862232 12646.1768199978
0.0273080822 12098.3968021648
0.027982451 11576.0375604963
0.0287136119 11088.8894571699
0.0295061674 10633.0766553752
0.0304008862 10179.3641183199
0.031295605 9725.6515812646
0.0323034823 9277.28586426854
0.0333947837 8863.96708245993
0.03457601 8490.57231041839
0.0358541161 8143.31625168414
0.0372364931 7805.66597713153
0.0387310162 7471.85988310897
0.0403460413 7151.01184691471
0.0420904085 6853.14595926333
0.0439734645 6577.48695242403
0.0460050628 6317.43779402973
0.0481955446 6065.59930525101
0.0505557396 5817.47880346539
0.0530969501 5573.18028065859
0.0558309145 5335.81823708269
0.0587697774 5107.24524765739
0.0619260333 4886.58963050127
0.0653124675 4672.61050759339
0.0689420775 4463.29407177218
0.0728279725 4256.42407225561
0.076983273 4051.75570984176
0.0814209655 3849.95616523375
0.086153768 3652.0866966691
0.0911939517 3459.20619368458
0.0965531468 3272.08992401099
0.102242149 3091.22512738826
0.108270667 2917.02630637648
0.11464712 2750.02130988207
0.121378347 2590.86067748159
0.128469378 2440.20895018193
0.135923132 2298.92713063735
0.1439208535 2171.1171963234
0.151918575 2043.30726200946
0.160453424 1928.33122947102
0.16933693 1822.21449911984
0.178558066 1724.45332056872
0.188102499 1634.61025701498
0.197952598 1552.23779464086
0.20808737 1476.87687723078
0.218482539 1408.06246659604
0.229110733 1345.32893237276
0.239941671 1288.20993157945
0.250942498 1236.25180783534
0.262078047 1189.01711430089
0.273311466 1146.07836070927
0.28460446 1107.04849533342
0.295917958 1071.57128966679
0.307212591 1039.30628312194
0.318449229 1009.95026192725
0.329589576 983.2339098242
0.340596676 958.919369108543
0.351435304 936.796539033511
