Ndofs,Herror,Xattach
   279,1.32031E-03,0.1
  1037,8.29839E-04,0.05
  3993,4.38764E-04,0.05
 15665,2.63127E-04,0.0625
 62049,2.07167E-04,0.08125
246977,1.88199E-04,0.090625
985473,1.77200E-04,0.0953125
